Transaction,Type,Currency,Amount,Details,Outstanding Loan,Date / Time
NXTI1MR1ZRWDU,Interest,LTC,0.00000808,approved / LTC Interest Earned,$0.00,2021-03-18 01:00:03
NXTa2EtVbBcKc,Interest,LTC,0.00000808,approved / LTC Interest Earned,$0.00,2021-03-17 01:00:03
NXTC35LhwdlNr,Interest,LTC,0.00000808,approved / LTC Interest Earned,$0.00,2021-03-16 01:00:03
NXTbRuhhH0BvV,Interest,LTC,0.00000808,approved / LTC Interest Earned,$0.00,2021-03-15 01:00:03
NXTGY58GgvxY2,LockingTermDeposit,ETH,-16.34721486,approved / Transfer from Savings Wallet to Term Wallet,$0.00,2021-03-14 01:57:40
NXTj0Ozx7X9Ki,LockingTermDeposit,BTC,-1.30922721,approved / Transfer from Savings Wallet to Term Wallet,$0.00,2021-03-14 01:56:32
NXTfMLIOdDhlP,Interest,ETH,0.00175647,approved / ETH Interest Earned,$0.00,2021-03-14 01:00:03
NXTWkrzpKzJmc,Interest,LTC,0.00000808,approved / LTC Interest Earned,$0.00,2021-03-14 01:00:03
NXTZqxEeeG1zB,Interest,BTC,0.00014067,approved / BTC Interest Earned,$0.00,2021-03-14 01:00:03
NXTy5Avm907cV,Interest,BTC,0.00014065,approved / BTC Interest Earned,$0.00,2021-03-13 01:00:03
NXTUoHiGbLc7n,Interest,ETH,0.00175629,approved / ETH Interest Earned,$0.00,2021-03-13 01:00:03
NXTrYc7BEZZwF,Interest,LTC,0.00000808,approved / LTC Interest Earned,$0.00,2021-03-13 01:00:03
NXTRtudAgS60z,Interest,LTC,0.00000807,approved / LTC Interest Earned,$0.00,2021-03-12 01:00:03
NXTJ1wScL4NId,Interest,BTC,0.00014064,approved / BTC Interest Earned,$0.00,2021-03-12 01:00:03
NXT5fVEMBvUAK,Interest,ETH,0.00175610,approved / ETH Interest Earned,$0.00,2021-03-12 01:00:03
NXTYPQSlJRAey,Interest,LTC,0.00000807,approved / LTC Interest Earned,$0.00,2021-03-11 01:00:03
NXT308mqkuVnx,Interest,ETH,0.00175591,approved / ETH Interest Earned,$0.00,2021-03-11 01:00:03
NXT3X8WorDBH5,Interest,BTC,0.00014062,approved / BTC Interest Earned,$0.00,2021-03-11 01:00:03
NXTrNpxxmAigK,Interest,ETH,0.00175572,approved / ETH Interest Earned,$0.00,2021-03-10 01:00:02
NXT8XYLUTpY7t,Interest,LTC,0.00000807,approved / LTC Interest Earned,$0.00,2021-03-10 01:00:02
NXTbV7xvhCFqo,Interest,BTC,0.00014061,approved / BTC Interest Earned,$0.00,2021-03-10 01:00:02
NXTsIzWzDr1VB,Interest,LTC,0.00000807,approved / LTC Interest Earned,$0.00,2021-03-09 01:00:03
NXTQXrZk2V3pC,Interest,BTC,0.00014059,approved / BTC Interest Earned,$0.00,2021-03-09 01:00:03
NXTe3QEbMzC5j,Interest,ETH,0.00175553,approved / ETH Interest Earned,$0.00,2021-03-09 01:00:03
NXTMl1frloRSn,Interest,LTC,0.00000807,approved / LTC Interest Earned,$0.00,2021-03-08 01:00:03
NXTtOV0Bfsztd,Interest,BTC,0.00014058,approved / BTC Interest Earned,$0.00,2021-03-08 01:00:03
NXTbxD0nxTWDA,Interest,ETH,0.00175534,approved / ETH Interest Earned,$0.00,2021-03-08 01:00:03
NXTDNZkbZYgjV,Interest,LTC,0.00000807,approved / LTC Interest Earned,$0.00,2021-03-07 01:00:03
NXT8wafKOrpNK,Interest,ETH,0.00175515,approved / ETH Interest Earned,$0.00,2021-03-07 01:00:03
NXTxn6blrGiAR,Interest,BTC,0.00014056,approved / BTC Interest Earned,$0.00,2021-03-07 01:00:03
